"order","family","genus","species","growth_form"
"Fabales","Fabaceae","Acacia","Acacia_cummingiana","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_cuneifolia","shrub"
"Fabales","Fabaceae","Acacia","Acacia_curranii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_curvata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cuspidifolia","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cuthbertsonii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cuthbertsonii_subsp._cuthbertsonii",NA
"Fabales","Fabaceae","Acacia","Acacia_cuthbertsonii_subsp._linearis",NA
"Fabales","Fabaceae","Acacia","Acacia_cyclocarpa",NA
"Fabales","Fabaceae","Acacia","Acacia_cylindrica","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cyperophylla","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cyperophylla_var._cyperophylla",NA
"Fabales","Fabaceae","Acacia","Acacia_cyperophylla_var._omearana",NA
"Fabales","Fabaceae","Acacia","Acacia_dacrydioides","shrub"
"Fabales","Fabaceae","Acacia","Acacia_dallachiana","tree"
"Fabales","Fabaceae","Acacia","Acacia_dangarensis","tree"
"Fabales","Fabaceae","Acacia","Acacia_daphnifolia","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_daviesii",NA
"Fabales","Fabaceae","Acacia","Acacia_daviesioides","shrub"
"Fabales","Fabaceae","Acacia","Acacia_daweana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_dawsonii","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_dealbata_subsp._subalpina",NA
"Fabales","Fabaceae","Acacia","Acacia_deanei","tree"
"Fabales","Fabaceae","Acacia","Acacia_deanei_subsp._deanei",NA
"Fabales","Fabaceae","Acacia","Acacia_deanei_subsp._paucijuga",NA
"Fabales","Fabaceae","Acacia","Acacia_debilis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_declinata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_decora","shrub"
"Fabales","Fabaceae","Acacia","Acacia_deficiens","shrub"
"Fabales","Fabaceae","Acacia","Acacia_deflexa","shrub"
"Fabales","Fabaceae","Acacia","Acacia_delibrata","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_delicatula","shrub"
"Fabales","Fabaceae","Acacia","Acacia_delphina","shrub"
"Fabales","Fabaceae","Acacia","Acacia_deltoidea","shrub"
